,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
549,BuiltIn,2003.0,Fin,2,615,TA,TA
550,Attchd,1977.0,RFn,2,440,TA,TA
551,Attchd,1957.0,Fin,1,288,TA,TA
552,Attchd,2006.0,RFn,3,908,TA,TA
553,Detchd,2002.0,Fin,2,520,TA,TA
554,BuiltIn,2003.0,RFn,3,871,TA,TA
555,Detchd,1922.0,Unf,1,280,TA,TA
556,Attchd,1957.0,Fin,1,299,TA,TA
557,CarPort,1994.0,Unf,1,570,TA,TA
558,Attchd,1996.0,Unf,2,406,TA,TA
559,Attchd,2003.0,Fin,2,420,TA,TA
560,Detchd,1957.0,Unf,2,528,TA,TA
561,Attchd,1975.0,RFn,2,418,TA,TA
562,,,,0,0,,
563,Detchd,1955.0,Fin,2,396,TA,TA
564,Attchd,1992.0,RFn,2,590,TA,TA
565,Detchd,1920.0,Unf,1,216,TA,TA
566,BuiltIn,2005.0,Fin,3,656,TA,TA
567,Attchd,2004.0,RFn,2,532,TA,TA
568,BuiltIn,1983.0,Fin,2,612,Gd,TA
569,Detchd,1979.0,Unf,2,600,TA,TA
570,Detchd,1987.0,Unf,2,576,TA,TA
571,Attchd,1959.0,Unf,1,288,TA,TA
572,Attchd,2009.0,RFn,2,650,TA,TA
573,BuiltIn,2000.0,RFn,2,400,TA,TA
574,BuiltIn,1971.0,Unf,1,288,TA,TA
575,Detchd,1947.0,Unf,1,336,TA,TA
576,Detchd,1928.0,Unf,1,216,TA,TA
577,Attchd,1966.0,RFn,2,564,TA,TA
578,Detchd,2007.0,Unf,2,540,TA,TA
579,Attchd,1954.0,Unf,1,352,Fa,TA
580,Attchd,1960.0,Unf,2,572,TA,TA
581,Attchd,2009.0,RFn,3,1390,TA,TA
582,,,,0,0,,
583,Detchd,1988.0,Unf,2,880,Gd,TA
584,Detchd,1935.0,Unf,1,240,TA,TA
585,Attchd,2005.0,RFn,3,880,TA,TA
586,Detchd,1961.0,Fin,1,275,TA,TA
587,Detchd,1996.0,Unf,2,528,TA,TA
588,Attchd,1968.0,Unf,1,452,TA,TA
589,Detchd,1988.0,Unf,1,308,TA,TA
590,Attchd,2004.0,RFn,2,520,TA,TA
591,BuiltIn,2008.0,RFn,3,842,TA,TA
592,Detchd,1985.0,Fin,2,816,TA,TA
593,Attchd,2003.0,Fin,2,420,TA,TA
594,Detchd,1981.0,Unf,1,280,TA,TA
595,Attchd,2005.0,Fin,3,758,TA,TA
596,Detchd,1930.0,Unf,1,216,TA,Fa
597,Attchd,2006.0,Fin,3,648,TA,TA
598,Attchd,1977.0,Fin,2,621,TA,TA
599,Attchd,1980.0,Fin,2,452,TA,TA
600,BuiltIn,2003.0,Fin,2,736,TA,TA
601,Detchd,1979.0,Unf,1,544,TA,TA
602,Attchd,1992.0,Fin,2,506,TA,TA
603,Detchd,2004.0,RFn,2,480,TA,TA
604,Attchd,2002.0,RFn,2,530,TA,TA
605,Attchd,1965.0,Unf,2,486,TA,TA
606,Detchd,2000.0,Unf,2,576,TA,TA
607,Attchd,1948.0,Unf,1,230,TA,TA
608,Basment,1934.0,Unf,2,380,TA,TA
609,Attchd,1961.0,Unf,1,261,TA,TA
610,Attchd,2000.0,Fin,3,736,TA,TA
611,Attchd,1978.0,Unf,2,564,TA,TA
612,BuiltIn,2001.0,RFn,2,531,TA,TA
613,,,,0,0,,
614,,,,0,0,,
615,Attchd,1963.0,RFn,2,480,TA,TA
616,Attchd,2002.0,Fin,2,393,TA,TA
617,Detchd,1962.0,Unf,2,528,TA,TA
618,Attchd,2007.0,Unf,3,774,TA,TA
619,Attchd,2003.0,Fin,3,749,TA,TA
620,,,,0,0,,
621,Attchd,1974.0,RFn,2,624,TA,TA
622,Detchd,1986.0,Unf,2,484,TA,TA
623,Detchd,2000.0,Unf,2,440,TA,TA
624,Attchd,1972.0,RFn,2,484,TA,TA
625,Attchd,1962.0,Unf,2,440,TA,TA
626,Attchd,1960.0,RFn,1,286,TA,TA
627,Basment,1955.0,RFn,1,364,TA,TA
628,Attchd,1969.0,Unf,2,504,TA,TA
629,Attchd,1964.0,RFn,2,520,TA,TA
630,Detchd,1937.0,Unf,1,240,Fa,Po
631,Attchd,2006.0,RFn,2,627,TA,TA
632,Attchd,1977.0,Fin,2,544,TA,TA
633,Attchd,1954.0,Unf,1,260,TA,TA
634,Detchd,1980.0,Unf,2,576,TA,TA
635,,,,0,0,,
636,,,,0,0,,
637,BuiltIn,1954.0,Unf,1,256,TA,TA
638,,,,0,0,,
639,Attchd,2006.0,Fin,3,648,TA,TA
640,Attchd,2003.0,RFn,2,588,TA,TA
641,Attchd,2001.0,Fin,2,650,TA,TA
642,Attchd,1972.0,Fin,2,538,TA,TA
643,Attchd,1969.0,Fin,2,462,TA,TA
644,Attchd,2009.0,Fin,3,478,TA,TA
645,Detchd,1979.0,Unf,2,576,TA,TA
646,Detchd,1950.0,Unf,2,420,TA,TA
647,Attchd,1953.0,RFn,2,495,TA,TA
648,Attchd,1966.0,Unf,2,442,TA,TA
649,,,,0,0,,
650,Attchd,2007.0,RFn,2,562,TA,TA
651,Detchd,1940.0,Unf,1,296,Fa,Po
652,Attchd,1996.0,RFn,2,512,TA,TA
653,Detchd,1906.0,Unf,1,216,TA,TA
654,Attchd,1995.0,Fin,3,839,TA,TA
655,Detchd,1971.0,Unf,1,264,TA,TA
656,Attchd,1959.0,RFn,1,312,TA,TA
657,Attchd,1931.0,RFn,1,270,TA,TA
658,Attchd,1948.0,Unf,1,330,TA,TA
659,Detchd,1968.0,Fin,2,480,TA,TA
660,Attchd,1976.0,RFn,2,550,TA,TA
661,Attchd,1994.0,RFn,3,711,TA,TA
662,Attchd,1968.0,RFn,2,576,TA,TA
663,Detchd,1974.0,RFn,2,588,TA,TA
664,Attchd,2005.0,Fin,3,1134,TA,TA
665,Attchd,2000.0,RFn,2,504,TA,TA
666,CarPort,1965.0,Unf,2,596,TA,TA
667,Attchd,1994.0,RFn,2,575,TA,TA
668,Detchd,1999.0,Unf,2,576,TA,TA
669,Detchd,1922.0,Unf,1,252,TA,Fa
670,Attchd,2005.0,Fin,2,540,TA,TA
671,Detchd,1930.0,Unf,1,300,TA,TA
672,Attchd,1977.0,RFn,2,546,TA,TA
673,Attchd,1957.0,Fin,2,416,TA,TA
674,Attchd,1965.0,RFn,1,384,TA,TA
675,Attchd,1978.0,Unf,2,440,TA,TA
676,2Types,1920.0,Unf,3,779,Fa,Fa
677,Detchd,1924.0,Unf,1,240,Fa,Fa
678,Attchd,2008.0,Fin,3,834,TA,TA
679,Detchd,1963.0,Unf,2,572,TA,TA
680,Attchd,1980.0,RFn,1,264,TA,TA
681,Detchd,1968.0,Unf,1,281,TA,TA
682,Attchd,1996.0,Unf,2,431,TA,TA
683,Attchd,2002.0,Fin,3,702,TA,TA
684,Attchd,1998.0,Fin,2,486,TA,TA
685,Attchd,1984.0,Fin,2,577,TA,TA
686,Attchd,2007.0,Fin,2,578,TA,TA
687,Detchd,2004.0,Unf,2,480,TA,TA
688,Attchd,2007.0,RFn,2,567,TA,TA
689,Attchd,2005.0,RFn,2,460,TA,TA
690,Attchd,2004.0,RFn,2,420,TA,TA
691,Attchd,1994.0,Fin,3,832,TA,TA
692,Attchd,1989.0,RFn,2,628,TA,TA
693,Detchd,1968.0,Unf,1,326,TA,TA
694,Detchd,1995.0,Unf,2,576,TA,TA
695,Attchd,1987.0,Unf,2,551,TA,TA
696,Detchd,1921.0,Unf,1,205,TA,TA
697,Detchd,1952.0,Unf,1,308,TA,TA
698,Detchd,1973.0,Unf,1,336,TA,TA
699,Attchd,2004.0,RFn,2,530,TA,TA
700,Attchd,2002.0,Fin,3,765,TA,TA
701,Attchd,1969.0,Unf,2,528,TA,TA
702,BuiltIn,2006.0,Fin,3,666,TA,TA
703,Detchd,1999.0,Unf,2,672,TA,TA
704,Attchd,2004.0,RFn,2,606,TA,TA
705,,,,0,0,,
706,Attchd,1971.0,Unf,2,739,TA,TA
707,Attchd,2006.0,Fin,2,550,TA,TA
708,Attchd,2007.0,Fin,2,400,TA,TA
709,Attchd,1966.0,Unf,1,408,TA,TA
710,,,,0,0,,
711,Detchd,1964.0,RFn,1,384,TA,TA
712,Attchd,1988.0,Fin,2,472,TA,TA
713,Detchd,1970.0,Unf,2,576,TA,TA
714,Attchd,1976.0,RFn,2,475,TA,TA
715,Attchd,1974.0,RFn,2,478,TA,TA
716,Detchd,1996.0,Unf,2,704,TA,TA
717,Attchd,1973.0,Unf,2,439,TA,TA
718,Attchd,1993.0,RFn,3,983,TA,TA
719,Attchd,1969.0,Unf,1,300,TA,TA
720,Attchd,1985.0,RFn,2,564,TA,TA
721,Attchd,2004.0,RFn,2,420,TA,TA
722,Detchd,1994.0,Unf,2,463,TA,TA
723,Detchd,1958.0,Unf,1,548,TA,TA
724,Attchd,2007.0,Fin,3,768,TA,TA
725,Detchd,1989.0,Unf,2,660,TA,TA
726,Attchd,1988.0,Fin,2,540,TA,TA
727,Attchd,2007.0,RFn,2,632,TA,TA
728,Detchd,1968.0,Unf,3,888,TA,TA
729,Detchd,1962.0,Unf,2,539,TA,TA
730,Attchd,1995.0,RFn,2,608,TA,TA
731,Attchd,2003.0,Fin,2,438,TA,TA
732,Attchd,1998.0,Fin,2,541,TA,TA
733,Attchd,1961.0,RFn,1,264,TA,TA
734,Attchd,1968.0,Unf,1,300,TA,TA
735,Detchd,1914.0,Unf,2,320,TA,TA
736,Detchd,1949.0,Unf,2,400,TA,TA
737,Attchd,2005.0,Fin,3,800,TA,TA
738,,,,0,0,,
739,Attchd,2004.0,RFn,2,572,TA,TA
740,Detchd,1910.0,Unf,2,360,TA,Gd
741,Detchd,1962.0,Unf,1,288,TA,TA
742,Attchd,2000.0,Unf,2,539,TA,TA
743,Attchd,1997.0,RFn,2,480,TA,TA
744,Attchd,1993.0,RFn,2,462,TA,TA
745,BuiltIn,1994.0,Fin,2,831,TA,TA
746,BuiltIn,2000.0,Fin,2,554,TA,TA
747,Detchd,1950.0,Unf,4,864,TA,TA
748,Attchd,1996.0,Fin,2,527,TA,TA
749,Detchd,1945.0,Unf,1,240,TA,TA
750,,,,0,0,,
751,Attchd,2003.0,Fin,2,400,TA,TA
752,Attchd,1997.0,RFn,2,576,TA,TA
753,Attchd,2005.0,RFn,3,878,TA,TA
754,Detchd,1969.0,RFn,2,440,TA,TA
755,Detchd,1999.0,Unf,2,440,TA,TA
756,Attchd,2007.0,RFn,2,578,TA,TA
757,Attchd,1978.0,Fin,2,440,TA,TA
758,Detchd,1999.0,Unf,2,440,TA,TA
759,Attchd,1995.0,RFn,3,752,TA,TA
760,Detchd,2008.0,Unf,1,300,Ex,Ex
761,Detchd,1965.0,Unf,2,440,TA,TA
762,Attchd,2009.0,Unf,2,614,TA,TA
763,Attchd,1999.0,RFn,3,856,TA,TA
764,Attchd,1995.0,Fin,2,481,TA,TA
765,Attchd,2008.0,Fin,2,592,TA,TA
766,Attchd,1988.0,Unf,2,496,TA,TA
767,Attchd,1989.0,Unf,1,423,TA,TA
768,Attchd,2004.0,Fin,2,484,TA,TA
769,BuiltIn,2003.0,Fin,3,841,TA,TA
770,Detchd,1983.0,Unf,2,576,TA,TA
771,Detchd,1951.0,Unf,2,396,TA,TA
772,Detchd,1976.0,Unf,2,672,TA,TA
773,Attchd,1958.0,RFn,1,275,TA,TA
774,Attchd,2006.0,Fin,3,895,TA,TA
775,Attchd,1998.0,Fin,2,412,TA,TA
776,Attchd,2005.0,RFn,3,865,TA,TA
777,Attchd,1974.0,Unf,2,440,TA,TA
778,Detchd,1977.0,Unf,2,630,TA,TA
779,Attchd,1977.0,Unf,2,504,TA,TA
780,Attchd,1995.0,Fin,2,402,TA,TA
781,Attchd,1992.0,RFn,2,484,TA,TA
782,Attchd,2001.0,RFn,2,605,TA,TA
783,Attchd,1978.0,Fin,2,602,TA,TA
784,,,,0,0,,
785,Attchd,1967.0,Unf,2,457,TA,TA
786,Detchd,1961.0,Unf,1,416,TA,TA
787,BuiltIn,2004.0,RFn,2,618,TA,TA
788,Detchd,1954.0,Unf,1,281,Fa,TA
789,Attchd,1966.0,Fin,2,444,TA,TA
790,Attchd,2005.0,Fin,2,397,TA,TA
791,Attchd,1976.0,RFn,2,539,TA,TA
792,Attchd,1997.0,Unf,2,455,TA,TA
793,Attchd,2007.0,Fin,2,474,TA,TA
794,Attchd,1994.0,Fin,2,409,TA,TA
795,Attchd,1980.0,Unf,2,476,TA,TA
796,Attchd,1977.0,RFn,2,528,TA,TA
797,Attchd,1953.0,Unf,1,240,TA,TA
798,BuiltIn,2009.0,Fin,3,820,TA,TA
799,Detchd,1939.0,Unf,1,240,TA,TA
800,Attchd,1997.0,RFn,2,603,TA,TA
801,Detchd,1957.0,Unf,2,440,TA,TA
802,Attchd,2005.0,Fin,2,410,TA,TA
803,BuiltIn,2009.0,RFn,3,1020,TA,TA
804,Attchd,1954.0,Unf,1,286,TA,TA
805,Attchd,2008.0,RFn,2,554,TA,TA
806,Attchd,1967.0,Fin,1,384,TA,TA
807,Attchd,1923.0,RFn,2,528,TA,TA
808,Attchd,1966.0,RFn,2,484,TA,TA
809,Detchd,1910.0,Unf,2,360,Fa,Po
810,Attchd,1974.0,RFn,2,484,TA,TA
811,Attchd,2004.0,Fin,2,420,TA,TA
812,Basment,1952.0,Unf,2,504,TA,TA
813,Attchd,1958.0,RFn,1,301,TA,TA
814,Detchd,1955.0,Unf,1,280,TA,TA
815,Attchd,1998.0,RFn,2,598,TA,TA
816,Attchd,1954.0,RFn,1,275,TA,TA
817,Attchd,2002.0,RFn,3,857,TA,TA
818,Attchd,1971.0,Unf,2,440,TA,TA
819,Attchd,2010.0,RFn,2,484,TA,TA
820,Attchd,2003.0,RFn,2,595,TA,TA
821,Detchd,1974.0,Unf,2,576,TA,TA
822,BuiltIn,2003.0,Fin,2,433,TA,TA
823,Detchd,1940.0,Unf,1,240,TA,TA
824,Attchd,2006.0,RFn,2,776,TA,TA
825,Attchd,2007.0,Fin,3,1220,TA,TA
826,,,,0,0,,
827,Attchd,2001.0,RFn,2,527,TA,TA
828,Attchd,1967.0,Fin,2,538,TA,TA
829,Detchd,2005.0,RFn,2,480,TA,TA
830,Attchd,1957.0,RFn,2,458,TA,TA
831,Detchd,2005.0,RFn,2,480,TA,TA
832,Attchd,2003.0,RFn,2,613,TA,TA
833,Attchd,1964.0,RFn,2,472,TA,TA
834,Attchd,1961.0,Unf,2,456,TA,TA
835,Attchd,1996.0,Unf,2,436,TA,TA
836,Detchd,1948.0,Unf,2,812,TA,TA
837,Detchd,1973.0,Unf,1,264,TA,TA
838,Attchd,1999.0,Unf,1,352,TA,TA
839,Detchd,1946.0,Unf,1,240,TA,TA
840,Detchd,1934.0,Unf,1,400,TA,TA
841,Detchd,1983.0,Unf,2,686,Gd,TA
842,Attchd,1966.0,RFn,2,490,Gd,Gd
843,,,,0,0,,
844,Detchd,1949.0,Unf,3,720,TA,TA
845,Basment,1975.0,Fin,2,611,TA,TA
846,Attchd,1993.0,Unf,2,425,TA,TA
847,Attchd,1972.0,Unf,1,338,TA,TA
848,Detchd,1908.0,Unf,2,360,Fa,TA
849,Attchd,1976.0,RFn,2,512,TA,TA
850,Attchd,2003.0,Fin,2,420,TA,TA
851,Attchd,2003.0,Fin,2,400,TA,TA
852,Detchd,1941.0,Unf,1,240,TA,TA
853,Attchd,1964.0,RFn,2,645,TA,TA
854,Attchd,1955.0,Unf,2,454,TA,TA
855,Detchd,1962.0,Unf,1,260,TA,TA
856,Detchd,1981.0,Unf,2,576,TA,Fa
857,Attchd,1994.0,Fin,2,343,TA,TA
858,Attchd,1976.0,RFn,2,479,TA,TA
859,Attchd,1968.0,Unf,2,619,TA,TA
860,Detchd,1925.0,Unf,1,216,TA,TA
861,Attchd,1965.0,Unf,2,504,TA,TA
862,Attchd,1986.0,Unf,2,480,TA,TA
863,Attchd,1959.0,Unf,1,672,TA,TA
864,Attchd,2008.0,Fin,2,529,TA,TA
865,Detchd,1973.0,Unf,2,902,TA,TA
866,Attchd,2007.0,RFn,3,870,TA,TA
867,Attchd,1961.0,RFn,2,544,TA,TA
868,Attchd,1979.0,Unf,2,672,TA,TA
869,Attchd,1993.0,Fin,2,574,TA,TA
870,Detchd,1962.0,Unf,1,308,TA,TA
871,Attchd,1998.0,RFn,2,523,TA,TA
872,Attchd,1953.0,Unf,2,414,TA,TA
873,Attchd,1949.0,Unf,1,288,TA,TA
874,Detchd,1941.0,Unf,1,200,TA,TA
875,BuiltIn,2007.0,Fin,2,550,TA,TA
876,Attchd,1963.0,Unf,2,648,TA,TA
877,Attchd,2004.0,Fin,3,738,TA,TA
878,Detchd,1987.0,Unf,2,576,TA,TA
879,Attchd,1978.0,Unf,1,336,TA,TA
880,Attchd,2005.0,Fin,2,450,TA,TA
881,Attchd,1990.0,RFn,2,400,TA,TA
882,BuiltIn,1993.0,RFn,2,389,TA,TA
883,Detchd,1997.0,Unf,1,440,TA,Gd
884,Attchd,1967.0,RFn,1,288,TA,TA
885,Attchd,1999.0,Fin,2,506,TA,TA
886,Attchd,2005.0,Fin,2,588,TA,TA
887,Attchd,1955.0,Unf,1,300,TA,TA
888,Attchd,1970.0,Unf,2,621,TA,TA
889,Attchd,1953.0,RFn,2,505,TA,TA
890,Detchd,2003.0,Unf,2,576,TA,TA
891,Attchd,1978.0,RFn,2,440,TA,TA
892,Attchd,1963.0,RFn,1,264,TA,TA
893,Attchd,1954.0,Unf,1,354,TA,TA
894,Attchd,1979.0,Unf,2,400,TA,TA
895,Attchd,1963.0,RFn,2,483,TA,TA
896,Detchd,1936.0,Unf,1,327,TA,TA
897,Detchd,1979.0,Unf,2,528,TA,TA
898,Attchd,2009.0,Fin,3,820,TA,TA
899,Attchd,1961.0,Unf,1,288,TA,TA
900,Detchd,1979.0,Unf,1,684,TA,TA
901,Detchd,1968.0,Unf,1,756,TA,TA
902,Attchd,2003.0,Fin,2,393,TA,TA
903,Attchd,2006.0,RFn,3,690,TA,TA
904,Attchd,1967.0,Unf,1,288,TA,TA
905,Attchd,1954.0,RFn,1,280,TA,TA
906,Attchd,2006.0,RFn,3,865,TA,TA
907,Attchd,1936.0,Fin,1,180,Fa,TA
908,Attchd,1983.0,Unf,2,484,TA,TA
909,Attchd,2005.0,Fin,2,390,TA,TA
910,Detchd,1960.0,Unf,2,480,TA,TA
911,Detchd,1978.0,Unf,1,252,TA,TA
912,Detchd,1925.0,Unf,1,450,TA,TA
913,2Types,1949.0,Unf,3,871,TA,TA
914,Detchd,2009.0,RFn,2,528,TA,TA
915,Attchd,1970.0,Unf,1,286,TA,TA
916,Detchd,1958.0,Unf,1,308,TA,TA
917,Attchd,1956.0,RFn,1,284,TA,TA
918,Attchd,1991.0,RFn,3,833,TA,TA
919,Attchd,1990.0,Unf,2,601,TA,TA
920,Attchd,1994.0,RFn,2,471,TA,TA
921,,,,0,0,,
922,Attchd,2005.0,Fin,2,397,TA,TA
923,Attchd,1993.0,RFn,2,533,TA,TA
924,Attchd,1980.0,Unf,2,612,TA,TA
925,Attchd,1977.0,RFn,2,540,TA,TA
926,BuiltIn,2003.0,Fin,3,656,TA,TA
927,Attchd,1968.0,RFn,2,486,TA,TA
928,Attchd,2001.0,RFn,2,522,TA,TA
929,BuiltIn,1997.0,Fin,2,642,TA,TA
930,Attchd,2007.0,Fin,3,610,TA,TA
931,Detchd,1965.0,Unf,1,429,TA,TA
932,Attchd,2006.0,Fin,3,788,TA,TA
933,Attchd,2004.0,RFn,2,570,TA,TA
934,Attchd,1960.0,RFn,2,505,TA,TA
935,Detchd,1953.0,Unf,2,528,TA,TA
936,Attchd,2003.0,RFn,2,555,TA,TA
937,Attchd,2005.0,RFn,2,689,TA,TA
938,Attchd,2006.0,RFn,3,868,TA,TA
939,Attchd,1940.0,Unf,1,349,TA,TA
940,Attchd,1976.0,Unf,2,574,TA,TA
941,BuiltIn,1999.0,RFn,2,390,TA,TA
942,,,,0,0,,
943,Attchd,1967.0,Unf,2,576,TA,TA
944,Basment,1958.0,RFn,2,525,TA,TA
945,Detchd,1963.0,Unf,2,456,TA,TA
946,Attchd,1959.0,RFn,1,796,TA,TA
947,Attchd,2002.0,Fin,3,808,TA,TA
948,Attchd,2002.0,RFn,2,474,TA,TA
949,Attchd,1972.0,RFn,2,676,TA,TA
950,Detchd,1980.0,RFn,2,720,TA,TA
951,Detchd,1979.0,Unf,1,300,TA,TA
952,Detchd,1974.0,Fin,1,396,TA,TA
953,Attchd,1969.0,RFn,2,530,TA,TA
954,,,,0,0,,
955,Attchd,1946.0,Unf,2,492,TA,TA
956,Attchd,1980.0,Fin,2,462,TA,TA
957,Detchd,1977.0,Fin,2,576,TA,TA
958,Attchd,2003.0,RFn,2,531,TA,TA
959,Detchd,1999.0,Unf,2,484,TA,TA
960,,,,0,0,,
961,Attchd,1977.0,Fin,2,619,TA,TA
962,Detchd,1976.0,Unf,2,440,TA,TA
963,Attchd,2007.0,Fin,2,702,TA,TA
964,BuiltIn,2002.0,Fin,2,510,TA,TA
965,Attchd,2005.0,Fin,2,393,TA,TA
966,Detchd,1940.0,Unf,1,256,TA,TA
967,Attchd,1955.0,Unf,1,260,TA,TA
968,,,,0,0,,
969,Attchd,1958.0,RFn,1,264,TA,TA
970,,,,0,0,,
971,BuiltIn,2003.0,RFn,2,474,TA,TA
972,Attchd,1979.0,Unf,1,264,TA,TA
973,Attchd,2007.0,Fin,2,480,TA,TA
974,Detchd,1997.0,Unf,2,532,TA,TA
975,Detchd,2000.0,Unf,2,490,TA,TA
976,,,,0,0,,
977,Attchd,2007.0,Fin,2,569,TA,TA
978,Detchd,1999.0,Unf,2,400,TA,TA
979,Detchd,1963.0,Unf,2,480,TA,TA
980,Attchd,1961.0,RFn,2,588,TA,TA
981,Attchd,1998.0,Fin,3,676,TA,TA
982,Attchd,2007.0,Fin,2,388,TA,TA
983,Attchd,2002.0,Unf,2,779,TA,TA
984,Attchd,1977.0,Unf,2,539,TA,TA
985,Detchd,1950.0,Unf,1,240,TA,TA
986,Attchd,1950.0,Unf,1,255,Fa,TA
987,Attchd,2010.0,Fin,3,606,TA,TA
988,Attchd,1976.0,Fin,2,551,TA,TA
989,Attchd,2006.0,RFn,2,614,TA,TA
990,Attchd,1997.0,Fin,3,870,TA,TA
991,Attchd,1925.0,Unf,2,424,TA,TA
992,Attchd,1964.0,RFn,2,440,TA,TA
993,Attchd,2005.0,RFn,2,564,TA,TA
994,Attchd,2008.0,Fin,3,786,TA,TA
995,Detchd,1946.0,Unf,1,305,TA,TA
996,Attchd,1961.0,Unf,1,368,TA,TA
997,Attchd,1970.0,RFn,2,615,TA,TA
998,Detchd,1922.0,Unf,1,210,TA,Fa
999,Attchd,2006.0,RFn,2,632,TA,TA
1000,Detchd,1956.0,Unf,2,528,TA,Fa
1001,Detchd,1920.0,Unf,1,216,Fa,TA
1002,Attchd,2006.0,RFn,3,824,TA,TA
1003,Detchd,1976.0,Unf,2,528,TA,TA
1004,Attchd,2005.0,Fin,2,457,TA,TA
1005,Attchd,1977.0,Unf,1,328,TA,TA
1006,Attchd,1970.0,Unf,2,484,TA,TA
1007,Attchd,1970.0,RFn,1,286,TA,TA
1008,Attchd,2004.0,Fin,2,550,TA,TA
1009,,,,0,0,,
1010,Attchd,1948.0,Unf,1,312,TA,TA
1011,,,,0,0,,
1012,Detchd,1923.0,Unf,1,180,TA,TA
1013,Detchd,1956.0,Unf,1,280,TA,TA
1014,Detchd,1948.0,Unf,1,240,TA,TA
1015,Attchd,2001.0,Fin,2,528,TA,TA
1016,Attchd,1996.0,Fin,2,478,TA,TA
1017,Attchd,1984.0,RFn,2,565,TA,TA
1018,Attchd,1991.0,RFn,2,402,TA,TA
1019,Attchd,2005.0,Fin,2,440,TA,TA
1020,Attchd,2005.0,Fin,2,451,TA,TA
1021,Attchd,2006.0,RFn,2,632,TA,TA
1022,Detchd,1957.0,Unf,1,160,Fa,Fa
1023,Attchd,2005.0,Fin,2,437,TA,TA
1024,Attchd,1976.0,Fin,2,665,TA,TA
1025,Detchd,1980.0,Unf,2,461,TA,TA
1026,Attchd,1960.0,Unf,2,461,TA,TA
1027,Attchd,2008.0,RFn,3,800,TA,TA
1028,Attchd,1941.0,Unf,1,240,TA,TA
1029,Detchd,1972.0,Unf,1,264,TA,TA
1030,,,,0,0,,
1031,Basment,1970.0,Fin,2,672,TA,TA
1032,Attchd,1993.0,RFn,3,796,TA,TA
1033,Attchd,2002.0,Unf,3,900,TA,TA
1034,Basment,1938.0,Unf,1,240,Fa,TA
1035,Detchd,1957.0,Unf,1,290,TA,TA
1036,Attchd,2008.0,Fin,3,912,TA,TA
1037,BuiltIn,2001.0,Fin,2,905,TA,TA
1038,,,,0,0,,
1039,Attchd,1970.0,Unf,1,286,TA,TA
1040,Attchd,1957.0,RFn,2,484,TA,TA
1041,Attchd,1966.0,Unf,2,484,TA,TA
1042,Attchd,2005.0,RFn,2,624,TA,TA
1043,Attchd,1990.0,Unf,2,514,TA,TA
1044,Attchd,1981.0,Fin,2,542,TA,TA
1045,Attchd,1955.0,Unf,2,452,TA,TA
1046,BuiltIn,2005.0,Fin,3,716,TA,TA
1047,Detchd,1996.0,Unf,2,672,TA,TA
1048,Attchd,1960.0,Unf,2,336,TA,TA
1049,Detchd,1946.0,Unf,1,308,TA,TA
1050,Attchd,2007.0,Fin,2,436,TA,TA
1051,Attchd,2007.0,Fin,2,440,TA,TA
1052,Attchd,1964.0,RFn,2,540,TA,TA
1053,Basment,1957.0,Unf,1,364,TA,TA
1054,Attchd,2002.0,Fin,2,586,TA,TA
1055,Attchd,1976.0,Fin,2,478,TA,TA
1056,Attchd,2005.0,RFn,2,484,TA,TA
1057,BuiltIn,1994.0,Fin,2,467,TA,TA
1058,Attchd,2008.0,Fin,3,836,TA,TA
1059,Detchd,1977.0,Unf,2,432,TA,Fa
1060,Attchd,2001.0,Fin,2,582,TA,TA
1061,Detchd,1994.0,RFn,3,1248,TA,TA
1062,Detchd,1945.0,Unf,2,560,TA,TA
1063,Detchd,1976.0,Unf,2,440,TA,TA
1064,Attchd,1966.0,RFn,2,480,TA,TA
1065,Attchd,1996.0,RFn,2,533,TA,TA
1066,Attchd,1993.0,RFn,2,380,TA,TA
1067,Attchd,1964.0,RFn,2,442,TA,TA
1068,Attchd,1973.0,Fin,2,576,TA,TA
1069,Detchd,1985.0,Unf,2,576,TA,TA
1070,Attchd,1956.0,Unf,1,286,TA,TA
1071,Attchd,1968.0,Unf,2,441,TA,TA
1072,Detchd,1954.0,Unf,1,280,TA,TA
1073,Attchd,1977.0,Fin,2,440,TA,TA
1074,Attchd,2006.0,RFn,3,826,TA,TA
1075,Attchd,1940.0,Unf,1,240,TA,TA
1076,Attchd,1950.0,Unf,2,566,TA,TA
1077,Attchd,1969.0,Fin,1,299,TA,TA
1078,Attchd,2004.0,RFn,2,420,TA,TA
1079,Attchd,1996.0,Unf,1,299,TA,TA
1080,Attchd,1971.0,RFn,2,528,TA,TA
1081,Attchd,1963.0,Fin,1,308,TA,TA
1082,Attchd,2002.0,RFn,2,527,TA,TA
1083,Attchd,1964.0,RFn,1,461,TA,TA
1084,Attchd,1995.0,Fin,2,409,TA,TA
1085,Attchd,1992.0,Unf,2,564,TA,TA
1086,Attchd,1973.0,RFn,1,286,TA,TA
1087,Attchd,2005.0,RFn,3,1043,TA,TA
1088,Detchd,2004.0,Unf,2,380,TA,TA
1089,Attchd,2005.0,Fin,2,550,TA,TA
1090,Detchd,1987.0,Unf,2,400,TA,TA
1091,Detchd,1999.0,Unf,2,462,TA,TA
1092,Detchd,1925.0,Unf,2,576,TA,TA
1093,Detchd,1977.0,Unf,2,884,TA,TA
